date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice,commodity_label,year_month,month,month_name,year,quarter,day_of_year,month_sin,month_cos,price_lag_1,price_lag_2,price_lag_3,price_lag_6,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,rolling_mean_12,rolling_std_12,price_pct_change_1m,price_pct_change_3m,commodity_enc,market_enc
2006-07-15,Nyanza,Kisumu,Kisumu,186,-0.1,34.75,cereals and tubers,Maize,51,KG,actual,Wholesale,KES,17.26,0.23,Maize,2006-07,7,Jul,2006,3,196,-0.4999999999999997,-0.8660254037844388,19.3,18.77,16.6,14.84,18.223333333333333,1.4306059322305795,17.015,1.9492844841120547,17.015,1.9492844841120547,-0.10569948186528488,0.03975903614457832,5,101
2006-07-15,Nyanza,Kisumu,Kisumu,186,-0.1,34.75,cereals and tubers,Sorghum,65,90 KG,actual,Wholesale,KES,1450.0,19.72,Sorghum,2006-07,7,Jul,2006,3,196,-0.4999999999999997,-0.8660254037844388,1220.0,1400.0,1600.0,1600.0,1406.6666666666667,190.08769905844343,1502.5,159.61672844661365,1502.5,159.61672844661365,0.18852459016393452,-0.09375,10,101
2006-07-15,Nyanza,Kisumu,Kisumu,186,-0.1,34.75,pulses and nuts,Beans (dry),262,90 KG,actual,Wholesale,KES,3200.0,43.52,Beans (Dry),2006-07,7,Jul,2006,3,196,-0.4999999999999997,-0.8660254037844388,3340.0,4543.0,4640.0,4000.0,4174.333333333333,724.1797658961019,4173.0,495.1161479895399,4173.0,495.1161479895399,-0.041916167664670656,-0.31034482758620685,1,101
2006-07-15,Coast,Mombasa,Mombasa,191,-4.05,39.67,pulses and nuts,Beans,50,KG,actual,Wholesale,KES,30.15,0.41,Beans (Dry),2006-07,7,Jul,2006,3,196,-0.4999999999999997,-0.8660254037844388,28.23,39.73,43.84,33.63,37.266666666666666,8.091293674891139,38.266666666666666,6.295524336119004,38.266666666666666,6.295524336119004,0.06801275239107318,-0.312271897810219,1,172
2006-07-15,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),185,0.52,35.28,pulses and nuts,Beans (dry),262,90 KG,actual,Wholesale,KES,2260.0,30.73,Beans (Dry),2006-07,7,Jul,2006,3,196,-0.4999999999999997,-0.8660254037844388,2978.0,3311.0,3060.0,2799.0,3116.3333333333335,173.50024015353233,3100.5,198.05529530916363,3100.5,198.05529530916363,-0.24110141034251176,-0.261437908496732,1,36
2006-07-15,Nyanza,Kisumu,Kisumu,186,-0.1,34.75,cereals and tubers,Potatoes (Irish),148,50 KG,actual,Wholesale,KES,455.55,6.2,Potatoes,2006-07,7,Jul,2006,3,196,-0.4999999999999997,-0.8660254037844388,586.11,1111.1,1911.11,1074.07,1202.7733333333333,667.2400243040978,1290.0483333333334,511.99236191242807,1290.0483333333334,511.99236191242807,-0.22275682039207656,-0.7616306753666717,8,101
2006-07-15,North Eastern,Mandera,Mandera,189,3.94,41.86,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,23.0,0.31,Maize,2006-07,7,Jul,2006,3,196,-0.4999999999999997,-0.8660254037844388,22.0,25.0,28.0,30.0,25.0,3.0000000000000004,26.833333333333332,2.9268868558020262,26.833333333333332,2.9268868558020262,0.045454545454545414,-0.1785714285714286,5,155
2006-07-15,Coast,Mombasa,Mombasa,191,-4.05,39.67,cereals and tubers,Maize (white),67,90 KG,actual,Wholesale,KES,1695.0,23.05,Maize,2006-07,7,Jul,2006,3,196,-0.4999999999999997,-0.8660254037844388,1814.75,1739.47,1595.0,1480.0,1716.4066666666668,111.67566267246109,1604.7033333333331,142.24395616920486,1604.7033333333331,142.24395616920486,-0.06598705055792808,0.06269592476489039,5,172
2006-07-15,Nyanza,Kisumu,Kisumu,186,-0.1,34.75,pulses and nuts,Beans,50,KG,actual,Wholesale,KES,34.77,0.47,Beans (Dry),2006-07,7,Jul,2006,3,196,-0.4999999999999997,-0.8660254037844388,38.51,48.09,50.15,39.61,45.583333333333336,6.211677175556812,45.61166666666667,6.332653209095432,45.61166666666667,6.332653209095432,-0.09711763178395205,-0.30667996011964105,1,101
2006-07-15,Nairobi,Nairobi,Nairobi,184,-1.28,36.82,pulses and nuts,Beans,50,KG,actual,Wholesale,KES,30.3,0.41,Beans (Dry),2006-07,7,Jul,2006,3,196,-0.4999999999999997,-0.8660254037844388,33.07,49.72,47.1,42.31,43.296666666666674,8.952912002992845,43.60166666666667,5.935713661108213,43.60166666666667,5.935713661108213,-0.08376171756879347,-0.356687898089172,1,181
2006-07-15,Eastern,Kitui,Kitui,187,-1.37,38.02,pulses and nuts,Beans (dry),262,KG,actual,Retail,KES,51.0,0.69,Beans (Dry),2006-07,7,Jul,2006,3,196,-0.4999999999999997,-0.8660254037844388,53.0,51.0,53.0,39.0,52.333333333333336,1.1547005383792448,47.5,5.92452529743945,47.5,5.92452529743945,-0.037735849056603765,-0.037735849056603765,1,104
2006-08-15,Nairobi,Nairobi,Nairobi,184,-1.28,36.82,cereals and tubers,Maize (white),67,90 KG,actual,Wholesale,KES,1585.75,21.84,Maize,2006-08,8,Aug,2006,3,227,-0.8660254037844384,-0.5000000000000004,1690.67,1550.91,1624.76,1488.0,1622.1133333333335,69.91758028803147,1565.7233333333334,77.89556512836063,1541.9057142857143,95.01255388230598,-0.06205823726688242,-0.02400969989413826,5,181
2006-08-15,Nyanza,Kisumu,Kisumu,186,-0.1,34.75,cereals and tubers,Maize,51,KG,actual,Wholesale,KES,15.24,0.21,Maize,2006-08,8,Aug,2006,3,227,-0.8660254037844384,-0.5000000000000004,17.26,19.3,18.77,17.83,18.44333333333333,1.0585052353830486,17.418333333333333,1.6341287179003572,17.05,1.781852968120546,-0.11703360370799543,-0.18806606286627592,5,101
2006-08-15,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),185,0.52,35.28,pulses and nuts,Beans (dry),262,90 KG,actual,Wholesale,KES,1975.0,27.2,Beans (Dry),2006-08,8,Aug,2006,3,227,-0.8660254037844384,-0.5000000000000004,2260.0,2978.0,3311.0,3150.0,2849.6666666666665,537.1241321457576,3010.6666666666665,390.7038093833573,2980.4285714285716,365.524671827068,-0.12610619469026552,-0.4035034732709152,1,36
2006-08-15,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),185,0.52,35.28,pulses and nuts,Beans,50,KG,actual,Wholesale,KES,29.39,0.4,Beans (Dry),2006-08,8,Aug,2006,3,227,-0.8660254037844384,-0.5000000000000004,41.43,46.06,53.6,44.02,47.03,6.142711127832724,47.375,4.4406474753125815,47.15714285714286,4.094511425008338,-0.2906106685976345,-0.45167910447761195,1,36
2006-08-15,Nyanza,Kisumu,Kisumu,186,-0.1,34.75,pulses and nuts,Beans,50,KG,actual,Wholesale,KES,30.12,0.41,Beans (Dry),2006-08,8,Aug,2006,3,227,-0.8660254037844384,-0.5000000000000004,34.77,38.51,48.09,42.79,40.45666666666667,6.870060649902122,44.805,7.4582833145436345,44.06285714285714,7.085931400283508,-0.1337359792924936,-0.3736743605739239,1,101
2006-08-15,Nyanza,Kisumu,Kisumu,186,-0.1,34.75,cereals and tubers,Maize (white),67,90 KG,actual,Wholesale,KES,1231.0,16.96,Maize,2006-08,8,Aug,2006,3,227,-0.8660254037844384,-0.5000000000000004,1533.33,1714.0,1720.0,1456.0,1655.7766666666666,106.08435150074361,1582.9799999999998,108.90776739975877,1545.4114285714284,140.58402379936004,-0.1971721677655821,-0.28430232558139534,5,101
2006-08-15,Eastern,Marsabit,Marsabit,190,2.33,37.98,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,22.0,0.3,Maize,2006-08,8,Aug,2006,3,227,-0.8660254037844384,-0.5000000000000004,21.0,20.0,22.0,22.0,21.0,0.9999999999999987,21.833333333333332,1.3291601358251253,21.714285714285715,1.253566341056017,0.04761904761904767,0.0,5,160
2006-08-15,Nairobi,Nairobi,Nairobi,184,-1.28,36.82,cereals and tubers,Maize,51,KG,actual,Wholesale,KES,17.5,0.24,Maize,2006-08,8,Aug,2006,3,227,-0.8660254037844384,-0.5000000000000004,18.61,16.96,17.71,16.41,17.76,0.8261355820929234,17.27,0.776788259437537,17.014285714285712,0.980082600989276,-0.059645351961311044,-0.011857707509881465,5,181
2006-08-15,Coast,Mombasa,Mombasa,191,-4.05,39.67,cereals and tubers,Maize,51,KG,actual,Wholesale,KES,15.31,0.21,Maize,2006-08,8,Aug,2006,3,227,-0.8660254037844384,-0.5000000000000004,20.1,19.12,17.17,16.13,18.79666666666667,1.4915204770077162,17.651666666666667,1.5931530581418316,17.651666666666667,1.5931530581418316,-0.23830845771144282,-0.10832847990681427,5,172
2006-08-15,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),185,0.52,35.28,cereals and tubers,Sorghum,65,90 KG,actual,Wholesale,KES,925.0,12.74,Sorghum,2006-08,8,Aug,2006,3,227,-0.8660254037844384,-0.5000000000000004,1000.0,1322.22,1031.58,1504.0,1117.9333333333334,177.6206793516266,1168.0916666666667,201.95704339454633,1168.0916666666667,201.95704339454633,-0.07499999999999996,-0.1033172415130188,10,36
2006-08-15,Eastern,Kitui,Kitui,187,-1.37,38.02,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,21.0,0.29,Maize,2006-08,8,Aug,2006,3,227,-0.8660254037844384,-0.5000000000000004,22.0,22.0,22.0,18.0,22.0,0.0,20.166666666666668,2.041241452319313,19.714285714285715,2.2146697055682822,-0.045454545454545414,-0.045454545454545414,5,104
2006-08-15,Nairobi,Nairobi,Nairobi,184,-1.28,36.82,pulses and nuts,Beans,50,KG,actual,Wholesale,KES,30.59,0.42,Beans (Dry),2006-08,8,Aug,2006,3,227,-0.8660254037844384,-0.5000000000000004,30.3,33.07,49.72,47.1,37.696666666666665,10.504219786987194,41.6,8.091840334559253,41.70142857142857,7.391678719053899,0.009570957095709653,-0.38475462590506837,1,181
2006-08-15,Nyanza,Kisumu,Kisumu,186,-0.1,34.75,pulses and nuts,Beans (dry),262,90 KG,actual,Wholesale,KES,2777.0,38.25,Beans (Dry),2006-08,8,Aug,2006,3,227,-0.8660254037844384,-0.5000000000000004,3200.0,3340.0,4543.0,4000.0,3694.3333333333335,738.2928506584176,4039.6666666666665,638.0961265096872,4034.0,582.6923144622154,-0.1321875,-0.388729914153643,1,101
2006-08-15,Coast,Mombasa,Mombasa,191,-4.05,39.67,pulses and nuts,Beans,50,KG,actual,Wholesale,KES,30.59,0.42,Beans (Dry),2006-08,8,Aug,2006,3,227,-0.8660254037844384,-0.5000000000000004,30.15,28.23,39.73,39.48,32.70333333333333,6.160530280205861,37.68666666666667,6.935868126389559,37.107142857142854,6.514559883537062,0.014593698175787706,-0.23005285678328713,1,172
2006-08-15,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),185,0.52,35.28,cereals and tubers,Potatoes (Irish),148,50 KG,actual,Wholesale,KES,468.51,6.45,Potatoes,2006-08,8,Aug,2006,3,227,-0.8660254037844384,-0.5000000000000004,333.32,450.61,690.05,1038.33,491.3266666666666,181.8171015975488,697.3966666666666,265.09461432980237,697.3966666666666,265.09461432980237,0.405586223448938,-0.3210491993333816,8,36
2006-08-15,North Eastern,Mandera,Mandera,189,3.94,41.86,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,23.0,0.32,Maize,2006-08,8,Aug,2006,3,227,-0.8660254037844384,-0.5000000000000004,23.0,22.0,25.0,29.0,23.333333333333332,1.5275252316519476,25.666666666666668,2.804757862395019,26.285714285714285,3.0394235042348483,0.0,-0.07999999999999996,5,155
2006-08-15,Coast,Mombasa,Mombasa,191,-4.05,39.67,cereals and tubers,Maize (white),67,90 KG,actual,Wholesale,KES,1131.25,15.58,Maize,2006-08,8,Aug,2006,3,227,-0.8660254037844384,-0.5000000000000004,1695.0,1814.75,1739.47,1523.0,1749.74,60.5319774995,1640.5366666666666,131.1984110676142,1617.6028571428571,134.26057956008356,-0.33259587020648973,-0.34965822923074275,5,172
2006-08-15,Nairobi,Nairobi,Nairobi,184,-1.28,36.82,pulses and nuts,Beans (dry),262,90 KG,actual,Wholesale,KES,2888.0,39.78,Beans (Dry),2006-08,8,Aug,2006,3,227,-0.8660254037844384,-0.5000000000000004,2760.0,3017.0,4505.0,3485.0,3427.3333333333335,942.0914676045703,3639.5,692.5427784620961,3573.1428571428573,656.1268750710309,0.04637681159420293,-0.35893451720310765,1,181
2006-08-15,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),185,0.52,35.28,cereals and tubers,Maize,51,KG,actual,Wholesale,KES,17.08,0.24,Maize,2006-08,8,Aug,2006,3,227,-0.8660254037844384,-0.5000000000000004,16.56,17.03,15.58,13.12,16.39,0.7397972695272722,14.964999999999998,1.6691404973818131,14.678571428571429,1.7017581944509494,0.0314009661835748,0.0962772785622592,5,36
2006-08-15,Rift Valley,Turkana,Lodwar (Turkana),188,3.12,35.6,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,27.0,0.37,Maize,2006-08,8,Aug,2006,3,227,-0.8660254037844384,-0.5000000000000004,26.0,27.0,26.0,28.0,26.333333333333332,0.5773502691896302,27.333333333333332,1.505545305418162,27.142857142857142,1.4638501094227994,0.03846153846153855,0.03846153846153855,5,122
2006-08-15,Nairobi,Nairobi,Nairobi,184,-1.28,36.82,cereals and tubers,Potatoes (Irish),148,50 KG,actual,Wholesale,KES,555.55,7.65,Potatoes,2006-08,8,Aug,2006,3,227,-0.8660254037844384,-0.5000000000000004,662.22,861.1,1624.99,694.44,1049.4366666666667,508.26621295668826,1032.1233333333332,390.8750663148862,979.5957142857143,382.92752129078525,-0.1610793995953007,-0.6581209730521419,8,181
2006-08-15,Eastern,Kitui,Kitui,187,-1.37,38.02,pulses and nuts,Beans (dry),262,KG,actual,Retail,KES,42.0,0.58,Beans (Dry),2006-08,8,Aug,2006,3,227,-0.8660254037844384,-0.5000000000000004,51.0,53.0,51.0,42.0,51.666666666666664,1.1547005383792448,49.5,4.277849927241488,48.0,5.567764362830023,-0.17647058823529416,-0.17647058823529416,1,104
2006-08-15,Coast,Mombasa,Mombasa,191,-4.05,39.67,pulses and nuts,Beans (dry),262,90 KG,actual,Wholesale,KES,2798.75,38.55,Beans (Dry),2006-08,8,Aug,2006,3,227,-0.8660254037844384,-0.5000000000000004,2750.0,2706.25,3978.95,3400.0,3145.066666666667,722.4953811847749,3464.8250000000003,613.1859495699489,3433.5642857142857,565.8369609954542,0.017727272727272814,-0.296610914939871,1,172
2006-08-15,Nairobi,Nairobi,Nairobi,184,-1.28,36.82,cereals and tubers,Sorghum,65,90 KG,actual,Wholesale,KES,1668.75,22.99,Sorghum,2006-08,8,Aug,2006,3,227,-0.8660254037844384,-0.5000000000000004,1680.0,1978.07,2014.29,2260.0,1890.7866666666666,183.44273284415797,2082.06,240.36724710326087,2064.6228571428574,224.22174045010945,-0.006696428571428603,-0.17154431586315777,10,181
2006-09-15,Nairobi,Nairobi,Nairobi,184,-1.28,36.82,cereals and tubers,Potatoes (Irish),148,50 KG,actual,Wholesale,KES,582.22,7.95,Potatoes,2006-09,9,Sep,2006,3,258,-1.0,-1.8369701987210297e-16,555.55,662.22,861.1,961.11,692.9566666666666,155.07661859008158,1008.975,418.04153471874065,926.59,384.9190714942558,0.048006480064800794,-0.3238648240622459,8,181
2006-09-15,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),185,0.52,35.28,cereals and tubers,Sorghum,65,90 KG,actual,Wholesale,KES,967.5,13.22,Sorghum,2006-09,9,Sep,2006,3,258,-1.0,-1.8369701987210297e-16,925.0,1000.0,1322.22,1115.75,1082.4066666666668,211.04283009221925,1071.5916666666667,137.3454672592681,1133.3642857142856,205.98740186858862,0.04594594594594592,-0.2682760811362709,10,36
2006-09-15,Nairobi,Nairobi,Nairobi,184,-1.28,36.82,cereals and tubers,Maize (white),67,90 KG,actual,Wholesale,KES,1278.0,17.46,Maize,2006-09,9,Sep,2006,3,258,-1.0,-1.8369701987210297e-16,1585.75,1690.67,1550.91,1500.0,1609.11,72.74944398412953,1582.015,67.97975544233742,1547.38625,89.31992545859279,-0.1940722055809554,-0.1759676576977388,5,181
